,datetime,avg_price
0,2019-12-24,57.0
1,2019-12-25,52.5
2,2019-12-26,59.0
3,2019-12-27,59.5
4,2019-12-28,59.5
5,2019-12-29,60.0
6,2019-12-30,59.0
7,2019-12-31,58.0
8,2020-01-01,64.0
9,2020-01-02,65.0
10,2020-01-03,62.5
11,2020-01-04,60.0
12,2020-01-05,58.0
13,2020-01-06,61.5
14,2020-01-07,67.5
15,2020-01-08,66.5
16,2020-01-09,65.0
17,2020-01-10,69.5
18,2020-01-11,66.5
19,2020-01-12,67.5
20,2020-01-13,67.5
21,2020-01-14,70.0
22,2020-01-15,69.0
23,2020-01-16,75.0
24,2020-01-17,72.5
25,2020-01-18,69.0
26,2020-01-19,69.5
27,2020-01-20,80.0
28,2020-01-21,75.5
29,2020-01-22,70.0
30,2020-01-23,79.0
31,2020-01-24,77.5
32,2020-01-25,82.0
33,2020-01-26,81.5
34,2020-01-27,82.5
35,2020-01-28,86.0
36,2020-01-29,80.0
37,2020-01-30,84.0
38,2020-01-31,87.0
39,2020-02-01,82.5
40,2020-02-02,78.5
41,2020-02-03,89.0
42,2020-02-04,89.0
43,2020-02-05,84.5
44,2020-02-06,77.5
45,2020-02-07,82.0
46,2020-02-08,81.0
47,2020-02-09,81.5
48,2020-02-10,84.0
49,2020-02-11,90.0
50,2020-02-12,82.5
51,2020-02-13,89.0
52,2020-02-14,85.0
53,2020-02-15,80.0
54,2020-02-16,80.0
55,2020-02-17,82.5
56,2020-02-18,88.5
57,2020-02-19,85.0
58,2020-02-20,89.0
59,2020-02-21,87.5
60,2020-02-22,87.5
61,2020-02-23,88.5
62,2020-02-24,90.0
63,2020-02-25,87.5
64,2020-02-26,90.0
65,2020-02-27,87.5
66,2020-02-28,89.5
67,2020-02-29,87.5
68,2020-03-01,87.5
69,2020-03-02,92.0
70,2020-03-03,89.5
71,2020-03-04,85.0
72,2020-03-05,90.0
73,2020-03-06,90.0
74,2020-03-07,90.0
75,2020-03-08,90.0
76,2020-03-09,90.0
77,2020-03-10,88.0
78,2020-03-11,92.5
79,2020-03-12,92.5
80,2020-03-13,90.0
81,2020-03-14,90.0
82,2020-03-15,90.0
83,2020-03-16,92.5
84,2020-03-17,90.0
85,2020-03-18,90.0
86,2020-03-19,90.0
87,2020-03-20,90.0
88,2020-03-21,90.0
