,datetime,avg_price
0,2019-12-24,87.0
1,2019-12-25,85.0
2,2019-12-26,85.0
3,2019-12-27,89.5
4,2019-12-28,90.5
5,2019-12-29,89.5
6,2019-12-30,87.0
7,2019-12-31,90.0
8,2020-01-01,90.0
9,2020-01-02,84.5
10,2020-01-03,90.0
11,2020-01-04,86.5
12,2020-01-05,87.0
13,2020-01-06,90.0
14,2020-01-07,92.5
15,2020-01-08,92.5
16,2020-01-09,90.0
17,2020-01-10,90.0
18,2020-01-11,92.5
19,2020-01-12,90.5
20,2020-01-13,96.5
21,2020-01-14,98.5
22,2020-01-15,99.0
23,2020-01-16,92.5
24,2020-01-17,95.0
25,2020-01-18,97.0
26,2020-01-19,99.0
27,2020-01-20,99.5
28,2020-01-21,99.0
29,2020-01-22,99.0
30,2020-01-23,101.5
31,2020-01-24,105.0
32,2020-01-25,98.0
33,2020-01-26,100.0
34,2020-01-27,100.0
35,2020-01-28,103.0
36,2020-01-29,108.5
37,2020-01-30,100.0
38,2020-01-31,104.5
39,2020-02-01,99.5
40,2020-02-02,100.0
41,2020-02-03,107.0
42,2020-02-04,99.0
43,2020-02-05,72.5
44,2020-02-06,67.5
45,2020-02-07,75.0
46,2020-02-08,75.0
47,2020-02-09,75.0
48,2020-02-10,75.0
49,2020-02-11,70.0
50,2020-02-12,70.0
51,2020-02-13,69.5
52,2020-02-14,77.0
53,2020-02-15,67.5
54,2020-02-16,73.0
55,2020-02-17,76.0
56,2020-02-18,75.5
57,2020-02-19,70.0
58,2020-02-20,70.0
59,2020-02-21,68.5
60,2020-02-22,70.5
61,2020-02-23,72.5
62,2020-02-24,70.0
63,2020-02-25,70.0
64,2020-02-26,70.0
65,2020-02-27,65.0
66,2020-02-28,64.0
67,2020-02-29,59.0
68,2020-03-01,62.5
69,2020-03-02,62.5
70,2020-03-03,59.0
71,2020-03-04,64.0
72,2020-03-05,60.0
73,2020-03-06,62.5
74,2020-03-07,59.5
75,2020-03-08,59.5
76,2020-03-09,62.0
77,2020-03-10,60.0
78,2020-03-11,59.5
79,2020-03-12,58.5
80,2020-03-13,55.0
81,2020-03-14,52.5
82,2020-03-15,57.5
83,2020-03-16,55.0
84,2020-03-17,51.5
85,2020-03-18,50.0
86,2020-03-19,49.5
87,2020-03-20,50.0
88,2020-03-21,50.0
