,index,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,name
138,138,2020-05-30,20.8,48,-0.5,▼,-10.0,-2.3,redeemer_prime_set
138,138,2020-05-30,43.4,7,0.4,▲,12.0,0.9,scindo_prime_set
138,138,2020-05-30,30.6,17,-0.9,▼,-24.0,-2.9,silva_and_aegis_prime_set
138,138,2020-05-30,48.6,29,-0.1,▼,-20.0,-0.2,tekko_prime_set
138,138,2020-05-30,37.4,19,4.6,▲,-6.0,14.0,tipedo_prime_set
138,138,2020-05-30,131.5,18,-0.8,▼,22.0,-0.6,venka_prime_set
109,109,2020-05-30,34.4,60,1.9,▲,-19.0,5.8,shedu_set
109,109,2020-05-30,313.7,5,-4.0,▼,9.0,-1.3,braton_vandal_set
107,107,2020-05-30,24.7,5,0.5,▲,7.0,2.1,dera_vandal_set
106,106,2020-05-30,41.2,5,-0.5,▼,4.0,-1.2,karak_wraith_set
108,108,2020-05-30,8.5,6,0.1,▲,3.0,1.2,gorgon_wraith_set
107,107,2020-05-30,43.9,3,-0.4,▼,12.0,-0.9,latron_wraith_set
109,109,2020-05-30,47.0,3,0.1,▲,1.0,0.2,strun_wraith_set
109,109,2020-05-30,30.0,5,0.3,▲,9.0,1.0,snipetron_vandal_set
109,109,2020-05-30,140.4,6,0.8,▲,-2.0,0.6,lato_vandal_set
109,109,2020-05-30,35.4,9,-0.9,▼,12.0,-2.5,twin_vipers_wraith_set
109,109,2020-05-30,19.0,8,-0.8,▼,12.0,-4.0,furax_wraith_set
109,109,2020-05-30,50.9,6,-0.4,▼,-10.0,-0.8,pathocyst_set
109,109,2020-05-30,38.3,26,0.5,▲,17.0,1.3,imperator_vandal_set
109,109,2020-05-30,29.7,17,1.1,▲,4.0,3.8,rakta_cernos
104,104,2020-05-30,49.3,5,1.5,▲,15.0,3.1,vulkar_wraith
109,109,2020-05-30,34.5,16,0.2,▲,6.0,0.6,sancti_tigris
109,109,2020-05-30,24.7,20,0.0,-,-1.0,0.0,vaykor_hek
109,109,2020-05-30,31.3,20,-1.2,▼,-2.0,-3.7,synoid_simulor
108,108,2020-05-30,36.9,15,-0.3,▼,3.0,-0.8,secura_penta
98,98,2020-05-30,63.3,1,0.2,▲,4.0,0.3,quanta_vandal
107,107,2020-05-30,57.8,1,0.1,▲,12.0,0.2,prisma_grinlok
109,109,2020-05-30,40.6,10,1.5,▲,3.0,3.8,supra_vandal
101,101,2020-05-30,73.5,5,-1.0,▼,7.0,-1.3,prisma_grakata
