,last_seen,user,status_data,platinum,order_type
380,2020-03-12,TheHanShuang,ingame,100.0,sell
409,2020-03-12,ZGL-LangGe,ingame,100.0,sell
364,2020-03-12,7Comandante7,ingame,100.0,sell
410,2020-03-12,ybcybcaa,ingame,100.0,sell
129,2020-03-12,sscret,ingame,100.0,sell
401,2020-03-12,E_sHad_H,ingame,100.0,sell
339,2020-03-12,baishou,online,100.0,sell
413,2020-03-12,H1TMACHiNEPrime,ingame,100.0,sell
201,2020-03-12,RussianBFighter,ingame,100.0,sell
399,2020-03-12,chivaaa,ingame,105.0,sell
388,2020-03-12,Optical_haze,ingame,105.0,sell
351,2020-03-12,tianyifan,ingame,107.0,sell
396,2020-03-12,xxgerkenxx,ingame,108.0,sell
414,2020-03-12,NIGUANG1122,ingame,109.0,sell
389,2020-03-13,RiceQ,ingame,100.0,sell
435,2020-03-13,Mice_Rosso,ingame,100.0,sell
388,2020-03-13,jackyi022,ingame,100.0,sell
440,2020-03-13,ItZcReEpErCoLwIn,ingame,100.0,sell
444,2020-03-13,friezy02,ingame,100.0,sell
374,2020-03-13,DVaNaPaSaa,ingame,100.0,sell
403,2020-03-13,Okihsedan,ingame,100.0,sell
123,2020-03-13,dannyNB,ingame,100.0,sell
121,2020-03-13,AZPIZ,ingame,100.0,sell
447,2020-03-13,Ezoneer,ingame,100.0,sell
449,2020-03-13,mrRosetka,ingame,100.0,sell
145,2020-03-13,ELIAS90,ingame,100.0,sell
422,2020-03-13,waityhhh,ingame,100.0,sell
17,2020-03-14,REX0HT,ingame,100.0,sell
435,2020-03-14,lchiharaYuko,ingame,100.0,sell
430,2020-03-14,lanzun2019,online,100.0,sell
427,2020-03-14,phantomofthevoid,online,100.0,sell
395,2020-03-14,Frosty_Embers,online,100.0,sell
382,2020-03-14,ArchSat,ingame,100.0,sell
371,2020-03-14,quico1,ingame,100.0,sell
349,2020-03-14,--TDF--Colonelsams,ingame,100.0,sell
339,2020-03-14,Oldboy88,online,100.0,sell
314,2020-03-14,_Evulla_,ingame,100.0,sell
439,2020-03-14,zjh8888,ingame,100.0,sell
437,2020-03-14,CerealKille,ingame,105.0,sell
416,2020-03-14,FunFung,ingame,105.0,sell
210,2020-03-14,Grinkir2,ingame,108.0,sell
411,2020-03-14,Zewal,ingame,108.0,sell
451,2020-03-15,Orbject,ingame,100.0,sell
443,2020-03-15,LitMeUp.,ingame,100.0,sell
402,2020-03-15,old3,ingame,100.0,sell
278,2020-03-15,Rhokh,ingame,100.0,sell
417,2020-03-15,Rubylaxx,ingame,103.0,sell
362,2020-03-15,Isoqle,ingame,109.0,sell
300,2020-03-15,Y.crazy,ingame,110.0,sell
