,datetime,avg_price,volume,day_before,yn_before,lank
0,2020-01-13,8.8,13,0.0,-,0.0
1,2020-01-14,8.6,27,-0.2,▼,-1.0
2,2020-01-15,8.6,11,0.0,-,-1.0
3,2020-01-16,8.4,8,-0.2,▼,-2.0
4,2020-01-17,8.3,27,-0.1,▼,-3.0
5,2020-01-18,7.7,14,-0.6,▼,-4.0
6,2020-01-19,8.2,26,0.5,▲,-3.0
7,2020-01-20,8.0,10,-0.2,▼,-4.0
8,2020-01-21,8.0,19,0.0,-,-4.0
9,2020-01-22,8.0,35,0.0,-,-4.0
10,2020-01-23,8.6,11,0.6,▲,-3.0
11,2020-01-24,8.3,15,-0.3,▼,-4.0
12,2020-01-25,8.4,16,0.1,▲,-3.0
13,2020-01-26,8.6,8,0.2,▲,-2.0
14,2020-01-27,8.5,14,-0.1,▼,-3.0
15,2020-01-28,8.2,9,-0.3,▼,-4.0
16,2020-01-29,8.2,15,0.0,-,-4.0
17,2020-01-30,8.0,16,-0.2,▼,-5.0
18,2020-01-31,8.0,23,0.0,-,-5.0
19,2020-02-01,8.1,23,0.1,▲,-4.0
20,2020-02-02,7.9,24,-0.2,▼,-5.0
21,2020-02-03,7.7,20,-0.2,▼,-6.0
22,2020-02-04,7.7,14,0.0,-,-6.0
23,2020-02-05,7.1,14,-0.6,▼,-7.0
24,2020-02-06,6.9,13,-0.2,▼,-8.0
25,2020-02-07,7.0,20,0.1,▲,-7.0
26,2020-02-08,6.6,18,-0.4,▼,-8.0
27,2020-02-09,6.8,14,0.2,▲,-7.0
28,2020-02-10,7.2,13,0.4,▲,-6.0
29,2020-02-11,7.2,17,0.0,-,-6.0
30,2020-02-12,7.2,17,0.0,-,-6.0
31,2020-02-13,7.8,12,0.6,▲,-5.0
32,2020-02-14,7.8,34,0.0,-,-5.0
33,2020-02-15,8.3,51,0.5,▲,-4.0
34,2020-02-16,8.5,30,0.2,▲,-3.0
35,2020-02-17,9.0,14,0.5,▲,-2.0
36,2020-02-18,8.8,19,-0.2,▼,-3.0
37,2020-02-19,8.2,20,-0.6,▼,-4.0
38,2020-02-20,8.1,14,-0.1,▼,-5.0
39,2020-02-21,8.1,20,0.0,-,-5.0
40,2020-02-22,7.9,23,-0.2,▼,-6.0
41,2020-02-23,9.4,37,1.5,▲,-5.0
42,2020-02-24,10.2,12,0.8,▲,-4.0
43,2020-02-25,9.9,10,-0.3,▼,-5.0
44,2020-02-26,9.9,12,0.0,-,-5.0
45,2020-02-27,9.7,17,-0.2,▼,-6.0
46,2020-02-28,8.5,27,-1.2,▼,-7.0
47,2020-02-29,9.6,47,1.1,▲,-6.0
48,2020-03-01,9.7,23,0.1,▲,-5.0
49,2020-03-02,9.8,9,0.1,▲,-4.0
50,2020-03-03,10.2,14,0.4,▲,-3.0
51,2020-03-04,10.2,18,0.0,-,-3.0
52,2020-03-05,9.2,19,-1.0,▼,-4.0
53,2020-03-06,9.5,28,0.3,▲,-3.0
54,2020-03-07,9.7,28,0.2,▲,-2.0
55,2020-03-08,9.7,26,0.0,-,-2.0
56,2020-03-09,10.4,31,0.7,▲,-1.0
57,2020-03-10,10.4,24,0.0,-,-1.0
58,2020-03-11,10.2,13,-0.2,▼,-2.0
59,2020-03-12,9.8,17,-0.4,▼,-3.0
60,2020-03-13,9.8,12,0.0,-,-3.0
61,2020-03-14,9.1,23,-0.7,▼,-4.0
62,2020-03-15,8.8,29,-0.3,▼,-5.0
63,2020-03-16,8.8,22,0.0,-,-5.0
64,2020-03-17,8.9,25,0.1,▲,-4.0
65,2020-03-18,8.8,16,-0.1,▼,-5.0
66,2020-03-19,8.5,23,-0.3,▼,-6.0
67,2020-03-20,8.6,16,0.1,▲,-5.0
68,2020-03-21,9.3,29,0.7,▲,-4.0
69,2020-03-22,9.1,21,-0.2,▼,-5.0
70,2020-03-23,9.0,13,-0.1,▼,-6.0
71,2020-03-24,9.2,16,0.2,▲,-5.0
72,2020-03-25,9.0,17,-0.2,▼,-6.0
73,2020-03-26,8.4,14,-0.6,▼,-7.0
74,2020-03-27,8.6,33,0.2,▲,-6.0
75,2020-03-28,8.6,39,0.0,-,-6.0
76,2020-03-29,8.3,28,-0.3,▼,-7.0
77,2020-03-30,8.2,22,-0.1,▼,-8.0
78,2020-03-31,7.8,18,-0.4,▼,-9.0
79,2020-04-01,7.6,28,-0.2,▼,-10.0
80,2020-04-02,7.4,33,-0.2,▼,-11.0
81,2020-04-03,7.5,23,0.1,▲,-10.0
82,2020-04-04,7.6,43,0.1,▲,-9.0
83,2020-04-05,7.5,32,-0.1,▼,-10.0
84,2020-04-06,7.4,34,-0.1,▼,-11.0
85,2020-04-07,7.4,29,0.0,-,-11.0
86,2020-04-08,7.2,26,-0.2,▼,-12.0
87,2020-04-09,7.1,31,-0.1,▼,-13.0
88,2020-04-10,7.1,38,0.0,-,-13.0
89,2020-04-11,7.2,28,0.1,▲,-12.0
