,datetime,avg_price,volume
0,2019-12-30,59.0,29
1,2019-12-31,58.0,42
2,2020-01-01,64.0,62
3,2020-01-02,65.0,40
4,2020-01-03,62.5,39
5,2020-01-04,60.0,28
6,2020-01-05,58.0,55
7,2020-01-06,61.5,32
8,2020-01-07,67.5,37
9,2020-01-08,66.5,45
10,2020-01-09,65.0,31
11,2020-01-10,69.5,70
12,2020-01-11,66.5,29
13,2020-01-12,67.5,64
14,2020-01-13,67.5,26
15,2020-01-14,70.0,47
16,2020-01-15,69.0,21
17,2020-01-16,75.0,15
18,2020-01-17,72.5,29
19,2020-01-18,69.0,40
20,2020-01-19,69.5,19
21,2020-01-20,80.0,34
22,2020-01-21,75.5,27
23,2020-01-22,70.0,19
24,2020-01-23,79.0,21
25,2020-01-24,77.5,27
26,2020-01-25,82.0,37
27,2020-01-26,81.5,31
28,2020-01-27,82.5,20
29,2020-01-28,86.0,35
30,2020-01-29,80.0,29
31,2020-01-30,84.0,28
32,2020-01-31,87.0,32
33,2020-02-01,82.5,46
34,2020-02-02,78.5,46
35,2020-02-03,89.0,36
36,2020-02-04,89.0,37
37,2020-02-05,84.5,37
38,2020-02-06,77.5,29
39,2020-02-07,82.0,34
40,2020-02-08,81.0,34
41,2020-02-09,81.5,34
42,2020-02-10,84.0,37
43,2020-02-11,90.0,32
44,2020-02-12,82.5,33
45,2020-02-13,89.0,33
46,2020-02-14,85.0,46
47,2020-02-15,80.0,57
48,2020-02-16,80.0,58
49,2020-02-17,82.5,44
50,2020-02-18,88.5,30
51,2020-02-19,85.0,36
52,2020-02-20,89.0,39
53,2020-02-21,87.5,24
54,2020-02-22,87.5,51
55,2020-02-23,88.5,27
56,2020-02-24,90.0,46
57,2020-02-25,87.5,29
58,2020-02-26,90.0,47
59,2020-02-27,87.5,29
60,2020-02-28,89.5,41
61,2020-02-29,87.5,39
62,2020-03-01,87.5,55
63,2020-03-02,92.0,37
64,2020-03-03,89.5,31
65,2020-03-04,85.0,49
66,2020-03-05,90.0,28
67,2020-03-06,90.0,50
68,2020-03-07,90.0,68
69,2020-03-08,90.0,59
70,2020-03-09,90.0,41
71,2020-03-10,88.0,45
72,2020-03-11,92.5,57
73,2020-03-12,92.5,35
74,2020-03-13,90.0,41
75,2020-03-14,90.0,42
76,2020-03-15,90.0,56
77,2020-03-16,92.5,49
78,2020-03-17,90.0,49
79,2020-03-18,90.0,62
80,2020-03-19,90.0,47
81,2020-03-20,90.0,52
82,2020-03-21,90.0,50
83,2020-03-22,87.5,51
84,2020-03-23,89.0,37
85,2020-03-24,89.0,51
86,2020-03-25,85.5,44
87,2020-03-26,85.5,45
88,2020-03-27,87.0,46
