,datetime,avg_price
0,2019-12-24,247.5
1,2019-12-25,247.0
2,2019-12-26,247.5
3,2019-12-27,249.5
4,2019-12-28,251.0
5,2019-12-29,250.0
6,2019-12-30,250.0
7,2019-12-31,247.0
8,2020-01-01,247.5
9,2020-01-02,249.5
10,2020-01-03,249.0
11,2020-01-04,249.5
12,2020-01-05,250.0
13,2020-01-06,250.0
14,2020-01-07,249.0
15,2020-01-08,258.5
16,2020-01-09,250.0
17,2020-01-10,245.0
18,2020-01-11,247.5
19,2020-01-12,255.0
20,2020-01-13,255.0
21,2020-01-14,252.5
22,2020-01-15,259.5
23,2020-01-16,260.0
24,2020-01-17,252.0
25,2020-01-18,260.0
26,2020-01-19,265.0
27,2020-01-20,262.5
28,2020-01-21,265.0
29,2020-01-22,264.5
30,2020-01-23,264.5
31,2020-01-24,262.5
32,2020-01-25,264.5
33,2020-01-26,267.5
34,2020-01-27,267.5
35,2020-01-28,265.0
36,2020-01-29,277.0
37,2020-01-30,265.0
38,2020-01-31,257.5
39,2020-02-01,272.5
40,2020-02-02,264.5
41,2020-02-03,272.0
42,2020-02-04,270.0
43,2020-02-05,270.0
44,2020-02-06,270.0
45,2020-02-07,272.5
46,2020-02-08,278.0
47,2020-02-09,257.5
48,2020-02-10,267.5
49,2020-02-11,265.0
50,2020-02-12,269.5
51,2020-02-13,269.0
52,2020-02-14,257.5
53,2020-02-15,260.0
54,2020-02-16,260.0
55,2020-02-17,267.5
56,2020-02-18,265.0
57,2020-02-19,265.0
58,2020-02-20,265.0
59,2020-02-21,269.5
60,2020-02-22,265.0
61,2020-02-23,265.0
62,2020-02-24,265.0
63,2020-02-25,269.0
64,2020-02-26,270.0
65,2020-02-27,267.5
66,2020-02-28,272.0
67,2020-02-29,269.5
68,2020-03-01,265.0
69,2020-03-02,268.5
70,2020-03-03,267.0
71,2020-03-04,262.5
72,2020-03-05,275.0
73,2020-03-06,274.5
74,2020-03-07,265.5
75,2020-03-08,277.5
76,2020-03-09,280.0
77,2020-03-10,280.0
78,2020-03-11,282.5
79,2020-03-12,282.0
80,2020-03-13,276.0
81,2020-03-14,265.0
82,2020-03-15,272.5
83,2020-03-16,278.5
84,2020-03-17,275.0
85,2020-03-18,275.0
86,2020-03-19,265.0
87,2020-03-20,274.5
88,2020-03-21,275.0
