,datetime,avg_price,volume,day_before,yn_before,lank
0,2020-01-13,79.1,19,0.0,-,0.0
1,2020-01-14,78.9,19,-0.2,▼,-1.0
2,2020-01-15,78.9,16,0.0,-,-1.0
3,2020-01-16,79.2,12,0.3,▲,0.0
4,2020-01-17,80.6,15,1.4,▲,1.0
5,2020-01-18,80.6,29,0.0,-,1.0
6,2020-01-19,80.6,20,0.0,-,1.0
7,2020-01-20,81.1,22,0.5,▲,2.0
8,2020-01-21,81.8,15,0.7,▲,3.0
9,2020-01-22,82.5,23,0.7,▲,4.0
10,2020-01-23,83.5,38,1.0,▲,5.0
11,2020-01-24,85.1,12,1.6,▲,6.0
12,2020-01-25,86.0,29,0.9,▲,7.0
13,2020-01-26,86.0,24,0.0,-,7.0
14,2020-01-27,86.4,15,0.4,▲,8.0
15,2020-01-28,87.3,22,0.9,▲,9.0
16,2020-01-29,87.7,17,0.4,▲,10.0
17,2020-01-30,88.2,18,0.5,▲,11.0
18,2020-01-31,89.6,13,1.4,▲,12.0
19,2020-02-01,89.0,28,-0.6,▼,11.0
20,2020-02-02,89.1,27,0.1,▲,12.0
21,2020-02-03,89.0,8,-0.1,▼,11.0
22,2020-02-04,89.0,15,0.0,-,11.0
23,2020-02-05,87.1,21,-1.9,▼,10.0
24,2020-02-06,86.2,15,-0.9,▼,9.0
25,2020-02-07,85.7,13,-0.5,▼,8.0
26,2020-02-08,84.3,21,-1.4,▼,7.0
27,2020-02-09,82.9,18,-1.4,▼,6.0
28,2020-02-10,83.9,35,1.0,▲,7.0
29,2020-02-11,85.5,15,1.6,▲,8.0
30,2020-02-12,85.4,15,-0.1,▼,7.0
31,2020-02-13,86.4,13,1.0,▲,8.0
32,2020-02-14,85.6,21,-0.8,▼,7.0
33,2020-02-15,84.9,28,-0.7,▼,6.0
34,2020-02-16,83.4,19,-1.5,▼,5.0
35,2020-02-17,81.9,27,-1.5,▼,4.0
36,2020-02-18,80.7,22,-1.2,▼,3.0
37,2020-02-19,81.5,20,0.8,▲,4.0
38,2020-02-20,81.7,15,0.2,▲,5.0
39,2020-02-21,81.7,16,0.0,-,5.0
40,2020-02-22,82.7,23,1.0,▲,6.0
41,2020-02-23,83.3,26,0.6,▲,7.0
42,2020-02-24,83.6,14,0.3,▲,8.0
43,2020-02-25,83.6,13,0.0,-,8.0
44,2020-02-26,83.6,15,0.0,-,8.0
45,2020-02-27,83.2,15,-0.4,▼,7.0
46,2020-02-28,82.7,17,-0.5,▼,6.0
47,2020-02-29,82.4,12,-0.3,▼,5.0
48,2020-03-01,82.8,25,0.4,▲,6.0
49,2020-03-02,83.3,12,0.5,▲,7.0
50,2020-03-03,83.7,17,0.4,▲,8.0
51,2020-03-04,85.1,19,1.4,▲,9.0
52,2020-03-05,85.8,14,0.7,▲,10.0
53,2020-03-06,85.9,17,0.1,▲,11.0
54,2020-03-07,85.7,32,-0.2,▼,10.0
55,2020-03-08,86.3,31,0.6,▲,11.0
56,2020-03-09,86.0,21,-0.3,▼,10.0
57,2020-03-10,86.0,21,0.0,-,10.0
58,2020-03-11,86.1,15,0.1,▲,11.0
59,2020-03-12,86.3,20,0.2,▲,12.0
60,2020-03-13,87.2,21,0.9,▲,13.0
61,2020-03-14,86.4,29,-0.8,▼,12.0
62,2020-03-15,86.5,18,0.1,▲,13.0
63,2020-03-16,85.9,11,-0.6,▼,12.0
64,2020-03-17,86.5,19,0.6,▲,13.0
65,2020-03-18,84.1,27,-2.4,▼,12.0
66,2020-03-19,83.9,12,-0.2,▼,11.0
67,2020-03-20,83.1,22,-0.8,▼,10.0
68,2020-03-21,84.6,23,1.5,▲,11.0
69,2020-03-22,85.0,29,0.4,▲,12.0
70,2020-03-23,85.5,20,0.5,▲,13.0
71,2020-03-24,84.9,9,-0.6,▼,12.0
72,2020-03-25,85.4,24,0.5,▲,13.0
73,2020-03-26,84.2,17,-1.2,▼,12.0
74,2020-03-27,83.2,19,-1.0,▼,11.0
75,2020-03-28,84.1,40,0.9,▲,12.0
76,2020-03-29,85.1,25,1.0,▲,13.0
77,2020-03-30,84.1,27,-1.0,▼,12.0
78,2020-03-31,83.4,41,-0.7,▼,11.0
79,2020-04-01,82.9,28,-0.5,▼,10.0
80,2020-04-02,82.5,31,-0.4,▼,9.0
81,2020-04-03,83.4,25,0.9,▲,10.0
82,2020-04-04,85.3,33,1.9,▲,11.0
83,2020-04-05,87.0,23,1.7,▲,12.0
84,2020-04-06,86.4,27,-0.6,▼,11.0
85,2020-04-07,87.4,38,1.0,▲,12.0
86,2020-04-08,87.6,25,0.2,▲,13.0
87,2020-04-09,87.6,39,0.0,-,13.0
88,2020-04-10,87.3,37,-0.3,▼,12.0
89,2020-04-11,89.4,36,2.1,▲,13.0
